,From/to,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC,D,NR
21,BB+,0.04,0,0,0.03,0.03,0.08,0.08,0.41,1.59,11.33,65.29,7.42,2.61,0.95,0.53,0.24,0.36,0.31,8.7
22,,-0.21,0,0,-0.12,-0.1,-0.37,-0.27,-0.69,-1.82,-4.19,-6.55,-3.91,-1.93,-1.55,-1.05,-0.37,-0.9,-0.6,-2.6
23,BB,0,0,0.03,0.01,0,0.06,0.05,0.16,0.47,2,9.44,65.41,8.46,2.22,1.02,0.31,0.52,0.51,9.33
24,,0,0,-0.2,-0.06,0,-0.35,-0.21,-0.4,-0.83,-2.14,-4.03,-5.32,-3.37,-1.46,-1.26,-0.56,-0.94,-0.66,-2.97
25,BB-,0,0,0,0.01,0.01,0.01,0.05,0.09,0.23,0.35,1.69,9.57,63.71,8.42,3.04,0.81,0.66,0.91,10.42
26,,0,0,0,-0.09,-0.08,-0.07,-0.27,-0.24,-0.42,-0.61,-1.62,-3.93,-5.36,-3.64,-1.53,-0.77,-0.81,-1.4,-2.49
27,B+,0,0.01,0,0.03,0,0.03,0.06,0.04,0.05,0.1,0.31,1.42,8.17,62.91,9.2,2.51,1.71,1.98,11.45
28,,0,-0.06,0,-0.14,0,-0.09,-0.2,-0.13,-0.16,-0.21,-0.35,-1.1,-3.33,-5.6,-3.6,-1.24,-1.57,-2.01,-2.64
29,B,0,0,0.01,0.01,0,0.03,0.04,0.02,0.05,0.03,0.11,0.23,1.09,7.38,62,9.32,3.85,3.2,12.63
30,,0,0,-0.08,-0.06,0,-0.19,-0.35,-0.07,-0.28,-0.1,-0.28,-0.53,-1.18,-3.16,-6.74,-3.65,-3.04,-4.04,-2.56
31,B-,0,0,0,0,0.02,0.03,0,0.06,0.05,0.1,0.08,0.13,0.46,2.18,10.06,54.63,11.7,6.49,14.02
32,,0,0,0,0,-0.29,-0.28,0,-0.31,-0.17,-0.42,-0.43,-0.81,-0.85,-2.21,-4.89,-6.85,-3.76,-5.99,-3.82
33,CCC/C,0,0,0,0,0.03,0,0.08,0.05,0.08,0.05,0.03,0.16,0.4,0.98,2.57,9.41,43.64,27.08,15.45
34,,0,0,0,0,-0.22,0,-0.36,-0.45,-0.31,-0.36,-0.22,-0.49,-0.73,-1.48,-2.88,-5.41,-8.42,-10.5,-5.09
